Ano;Mês;Operação;Região;Volume(mil m³)
2017;1;DISPENSADO;S ;2,7909229999999998
2017;2;VENDA;SE;40,424655999999999
2017;2;VENDA;N ;6,4384809999999995
2017;2;DISPENSADO;SE;8,2753139999999998
2017;3;VENDA;S ;25,055508
2017;3;VENDA;N ;8,3652899999999999
2017;3;DISPENSADO;CO;0,74436399999999991
2017;5;DISPENSADO;S ;3,0519780000000001
2017;6;VENDA;S ;21,575531999999999
2019;2;DISPENSADO;NE;0,83560699999999999
2017;8;VENDA;SE;57,827807999999997
2017;9;VENDA;NE;16,261002999999999
2017;11;VENDA;N ;8,5851980000000001
2017;12;VENDA;S ;18,497292999999999
2017;12;VENDA;SE;46,294809000000001
2020;11;VENDA;NE;19,376422999999999
2018;4;DISPENSADO;N ;0,82004499999999991
2018;5;VENDA;S ;19,159302
2018;6;DISPENSADO;S ;3,9820389999999999
2018;7;VENDA;NE;15,189985999999999
2018;7;DISPENSADO;SE;13,827651999999999
2018;7;DISPENSADO;NE;1,028546
2020;12;DISPENSADO;S ;4,908887
2018;8;VENDA;S ;23,787181999999998
2018;10;VENDA;S ;21,876393999999998
2022;5;VENDA;CO;13,221864
2020;6;VENDA;N ;10,698590999999999
2021;8;VENDA;SE;61,560393999999995
2021;9;DISPENSADO;NE;2,1400109999999999
2018;11;DISPENSADO;S ;3,342873
2018;11;DISPENSADO;CO;0,789435
2018;12;VENDA;N ;7,8810099999999998
2018;12;DISPENSADO;S ;3,2590859999999999
2021;7;DISPENSADO;S ;5,3450879999999996
2022;2;DISPENSADO;N ;2,4343509999999999
2019;3;VENDA;S ;23,047511999999998
2021;7;DISPENSADO;CO;1,442539
2019;11;VENDA;N ;7,6865079999999999
2019;11;DISPENSADO;CO;1,7007189999999999
2021;9;VENDA;CO;12,479127
2022;7;VENDA;SE;39,020174999999995
2021;4;DISPENSADO;S ;5,6415959999999998
2021;7;DISPENSADO;N ;3,5018069999999999
2022;3;DISPENSADO;CO;1,362933
2022;1;DISPENSADO;SE;13,826369999999999
2022;1;DISPENSADO;S ;5,5176559999999997
2021;6;DISPENSADO;N ;3,2704359999999997
2022;5;DISPENSADO;SE;15,913430999999999
2022;6;VENDA;N ;9,8505249999999993
2022;7;DISPENSADO;CO;0,65777099999999999
2022;8;DISPENSADO;CO;0,18204899999999999
2022;8;VENDA;S ;2,8674879999999998
2022;8;VENDA;NE;1,7959779999999999
2022;9;DISPENSADO;CO;0,09927699999999999
2022;9;VENDA;N ;0,72104099999999993
2016;1;VENDA;NE;14,91658
2016;3;DISPENSADO;SE;11,891072999999999
2019;10;DISPENSADO;SE;13,733900999999999
2019;12;DISPENSADO;CO;1,043083
2019;12;VENDA;N ;8,5345239999999993
2020;1;VENDA;S ;22,776266
2020;1;DISPENSADO;SE;14,024519
2016;6;VENDA;NE;14,959845999999999
2016;6;DISPENSADO;SE;10,352029999999999
2016;7;DISPENSADO;CO;0,753799
2020;4;DISPENSADO;SE;8,0182439999999993
2020;4;VENDA;NE;6,7310279999999993
2016;7;DISPENSADO;NE;0,77993400000000002
2020;9;VENDA;SE;64,959271000000001
2020;9;VENDA;NE;18,214219999999997
2020;7;DISPENSADO;S ;5,6082719999999995
2020;8;VENDA;N ;10,538167
2021;11;VENDA;SE;58,396992999999995
2020;10;VENDA;SE;62,407253999999995
2016;12;DISPENSADO;SE;9,4233460000000004
2016;12;VENDA;N ;7,8266269999999993
2016;12;VENDA;S ;18,948391000000001
2017;1;VENDA;NE;14,005284
2017;1;DISPENSADO;N ;0,46309599999999995
2020;9;DISPENSADO;N ;2,7815279999999998
2017;2;VENDA;S ;17,430071999999999
2017;4;VENDA;N ;6,1411009999999999
2017;4;DISPENSADO;N ;0,74292599999999998
2017;4;DISPENSADO;SE;10,927564
2017;5;DISPENSADO;NE;1,264176
2017;6;DISPENSADO;N ;3,6711879999999999
2019;2;DISPENSADO;S ;4,8667660000000001
2019;2;DISPENSADO;N ;1,1592469999999999
2017;10;VENDA;S ;21,998975999999999
2017;11;VENDA;CO;11,101319
2017;12;DISPENSADO;N ;2,625712
2018;1;VENDA;CO;10,709508999999999
2018;2;VENDA;SE;46,907243999999999
2018;2;VENDA;CO;10,880151
2018;2;DISPENSADO;NE;1,089358
2018;2;DISPENSADO;SE;10,724012
2018;2;DISPENSADO;CO;0,77237699999999998
2018;3;VENDA;SE;60,331218
2018;5;DISPENSADO;N ;0,64262399999999997
2018;8;VENDA;CO;12,805914
2020;5;DISPENSADO;CO;0,87063099999999993
2018;9;DISPENSADO;SE;15,190227999999999
2021;9;VENDA;S ;24,801096999999999
2018;11;VENDA;SE;50,003690999999996
2018;11;VENDA;N ;7,9102449999999997
2018;12;VENDA;S ;18,165191999999998
2018;12;VENDA;NE;14,852091
2018;12;DISPENSADO;N ;0,54873099999999997
2022;2;DISPENSADO;SE;15,507537999999998
2019;1;VENDA;S ;21,640165
2020;7;VENDA;NE;19,513435999999999
2020;7;VENDA;N ;12,942516999999999
2019;3;VENDA;CO;11,621964
2019;3;VENDA;NE;14,405308999999999
2021;7;DISPENSADO;NE;1,6326749999999999
2019;4;VENDA;SE;56,992084999999996
2019;4;VENDA;S ;23,907308999999998
2019;5;DISPENSADO;NE;0,94797100000000001
2019;6;DISPENSADO;S ;3,9560139999999997
2019;6;DISPENSADO;NE;1,407805
2019;7;VENDA;NE;15,354495
2019;8;DISPENSADO;N ;1,0900920000000001
2019;9;DISPENSADO;S ;4,6629699999999996
2019;9;DISPENSADO;NE;1,1235409999999999
2019;10;VENDA;N ;9,0787959999999988
2021;2;VENDA;CO;15,392984999999999
2021;5;DISPENSADO;N ;3,4685289999999998
2022;3;DISPENSADO;SE;19,776408
2022;4;VENDA;SE;61,953900000000004
2022;4;VENDA;NE;12,215275
2022;5;DISPENSADO;NE;1,5234289999999999
2022;8;DISPENSADO;SE;3,6546559999999997
2022;9;DISPENSADO;SE;3,2679519999999997
2022;9;VENDA;S ;1,8887399999999999
2022;9;VENDA;CO;0,809859
2016;1;VENDA;SE;43,272464999999997
2016;1;DISPENSADO;NE;1,0832119999999998
2021;4;VENDA;CO;12,883669999999999
2021;1;VENDA;CO;13,549410999999999
2021;1;DISPENSADO;NE;1,5971219999999999
2021;6;VENDA;NE;13,923017
2016;2;VENDA;NE;13,605701
2016;3;DISPENSADO;CO;0,68312499999999998
2016;3;VENDA;CO;11,198098
2021;5;VENDA;S ;25,675331
2016;4;VENDA;CO;9,8366509999999998
2016;4;VENDA;N ;7,7333409999999994
2019;10;DISPENSADO;S ;4,0883209999999996
2019;12;DISPENSADO;NE;0,97800399999999998
2019;12;DISPENSADO;S ;3,580552
2020;1;DISPENSADO;NE;1,395408
2020;1;DISPENSADO;CO;2,1779539999999997
2020;3;VENDA;S ;22,058093
2020;3;DISPENSADO;SE;14,616430999999999
2016;5;DISPENSADO;CO;0,544234
2016;6;DISPENSADO;S ;2,8384149999999999
2016;7;VENDA;N ;7,1666409999999994
2020;4;DISPENSADO;NE;1,1454849999999999
2016;8;DISPENSADO;NE;1,0071669999999999
2016;8;DISPENSADO;N ;0,47015699999999999
2020;8;DISPENSADO;N ;1,9982149999999999
2020;8;DISPENSADO;NE;1,6182669999999999
2020;6;DISPENSADO;S ;4,6651410000000002
2020;6;VENDA;NE;15,202250999999999
2020;7;VENDA;SE;62,030445999999998
2016;9;VENDA;N ;7,9010159999999994
2020;8;VENDA;SE;59,845678999999997
2020;8;VENDA;S ;26,009805999999998
2016;9;DISPENSADO;CO;0,86833799999999994
2020;10;DISPENSADO;SE;17,666305999999999
2016;11;DISPENSADO;S ;2,802279
2021;12;DISPENSADO;SE;14,280773
2021;12;VENDA;SE;52,077748999999997
2021;12;VENDA;CO;12,105770999999999
2022;2;VENDA;CO;10,818349999999999
2017;1;DISPENSADO;CO;0,57643699999999998
2020;9;DISPENSADO;SE;18,642586999999999
2017;2;DISPENSADO;CO;0,55468399999999995
2017;3;VENDA;SE;55,426994000000001
2017;3;DISPENSADO;SE;10,797801999999999
2017;4;VENDA;NE;12,183406999999999
2017;5;VENDA;NE;15,651064
2017;5;VENDA;CO;11,960588
2019;2;VENDA;N ;8,5569100000000002
2017;7;VENDA;S ;22,606396
2017;7;VENDA;CO;12,739618999999999
2017;7;DISPENSADO;CO;1,6187639999999999
2017;7;DISPENSADO;S ;6,6238639999999993
2017;7;DISPENSADO;NE;2,3152399999999997
2017;9;VENDA;CO;11,624262999999999
2017;9;DISPENSADO;N ;0,78033999999999992
2017;11;VENDA;SE;50,478769999999997
2017;11;VENDA;S ;20,865697000000001
2017;11;DISPENSADO;S ;3,181727
2017;12;VENDA;NE;14,529902
2018;1;DISPENSADO;SE;11,082158999999999
2018;3;VENDA;S ;24,659884999999999
2018;3;DISPENSADO;S ;4,2340149999999994
2018;3;DISPENSADO;SE;15,098972
2018;4;DISPENSADO;SE;12,840736
2018;5;VENDA;NE;12,553752999999999
2018;5;DISPENSADO;SE;11,52796
2018;6;VENDA;S ;23,774393999999997
2018;6;VENDA;N ;9,2368949999999987
2018;6;DISPENSADO;N ;1,107032
2018;6;DISPENSADO;CO;1,1372959999999999
2020;12;DISPENSADO;CO;1,078891
2018;8;VENDA;NE;16,694420999999998
2018;8;DISPENSADO;CO;1,119753
2018;8;DISPENSADO;N ;1,1539200000000001
2018;9;VENDA;N ;9,1233749999999993
2018;9;DISPENSADO;NE;1,305806
2020;6;DISPENSADO;N ;1,9384079999999999
2020;5;DISPENSADO;N ;1,623864
2018;10;VENDA;N ;8,3682859999999994
2018;10;DISPENSADO;N ;1,035328
2022;5;VENDA;SE;59,694198
2020;6;VENDA;CO;13,387068999999999
2021;8;VENDA;S ;26,539942
2018;11;VENDA;S ;19,938665
2021;10;DISPENSADO;SE;15,811387999999999
2021;10;VENDA;S ;24,026329
2020;5;VENDA;N ;7,35379
2018;12;VENDA;CO;9,2437709999999988
2019;1;VENDA;SE;54,554432999999996
2019;1;DISPENSADO;N ;0,77115400000000001
2020;7;DISPENSADO;N ;2,4571510000000001
2020;7;DISPENSADO;CO;0,88859499999999991
2020;7;VENDA;CO;14,928298
