Ano;Mês;Código do Produto;Descrição do Produto;Região do Produtor;UF do Produtor;Código da Operação;Descrição da Operação;Volume(L)
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-558707
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;8066406
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-3679107
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;84156
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;159619
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;5020
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;NORDESTE;BA;1021004;PRODUÇÃO POR MISTURA;36799
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;17656
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;255235
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-129207
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;3971614
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-777193
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;1031440
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-190400
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;6454
2016;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;332636
2016;3;620101004;ISOLANTE TIPO A;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1503000
2016;3;620101004;ISOLANTE TIPO A;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-145211
2016;3;620101004;ISOLANTE TIPO A;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;10960
2016;3;620101004;ISOLANTE TIPO A;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-38811
2016;3;620101005;ISOLANTE TIPO B;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;31878
2016;3;620101005;ISOLANTE TIPO B;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-24134
2016;3;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;3156139
2016;3;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-702568
2016;3;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;386400
2016;3;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-136000
2016;3;620401001;ÓLEOS LUBRIFICANTES FERROVIÁRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1710033
2016;3;620401001;ÓLEOS LUBRIFICANTES FERROVIÁRIOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-197755
2016;3;620501001;CICLO OTTO;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;70310
2016;3;620501001;CICLO OTTO;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;13440
2016;3;620501001;CICLO OTTO;NORDESTE;BA;1021004;PRODUÇÃO POR MISTURA;289765
2016;3;620501001;CICLO OTTO;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;12730
2016;3;620501001;CICLO OTTO;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;36000
2016;3;620501001;CICLO OTTO;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;8669016
2016;3;620501001;CICLO OTTO;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-4415484
2016;3;620501001;CICLO OTTO;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;35260272
2016;3;620501001;CICLO OTTO;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-9239692
2016;3;620501001;CICLO OTTO;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;4690585
2016;3;620501001;CICLO OTTO;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-400411
2016;3;620501001;CICLO OTTO;SUL;PR;1021004;PRODUÇÃO POR MISTURA;388485
2016;3;620501001;CICLO OTTO;SUL;RS;1021004;PRODUÇÃO POR MISTURA;6800
2016;3;620501002;CICLO DIESEL;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;32490
2016;3;620501002;CICLO DIESEL;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;12984
2016;3;620501002;CICLO DIESEL;NORDESTE;BA;1021004;PRODUÇÃO POR MISTURA;71965
2016;3;620501002;CICLO DIESEL;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;12900
2016;3;620501002;CICLO DIESEL;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;44996
2016;3;620501002;CICLO DIESEL;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;5092030
2016;3;620501002;CICLO DIESEL;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-2691488
2016;3;620501002;CICLO DIESEL;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;30488714
2016;3;620501002;CICLO DIESEL;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-4405558
2016;3;620501002;CICLO DIESEL;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;2088866
2016;3;620501002;CICLO DIESEL;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-201391
2016;3;620501002;CICLO DIESEL;SUL;PR;1021004;PRODUÇÃO POR MISTURA;157891
2016;3;620501002;CICLO DIESEL;SUL;RS;1021004;PRODUÇÃO POR MISTURA;836
2016;3;620502001;MOTORES 2 TEMPOS;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;1008
2016;3;620502001;MOTORES 2 TEMPOS;NORDESTE;BA;1021004;PRODUÇÃO POR MISTURA;326
2016;3;620502001;MOTORES 2 TEMPOS;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;1296
2016;3;620502001;MOTORES 2 TEMPOS;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;612
2016;3;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;32468
2016;3;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-16100
